# Strain_x(Poisson) Strain_y(Poisson) Strain_z(longitudinal) Stress_xx(GPa) Stress_yy(GPa) Stress_zz(GPa) Stress_VM(GPa)
-0.101444949353605 -0.123524286499629 0.0325 0.00126174269818734 0.00601870311018612 0.0663473324369694 0.0628422874363067
-0.10198862080308 -0.124577404925293 0.03275 -0.00480564091632923 -0.00383967819128776 0.0533701417847353 0.0576988660137988
-0.102323320768 -0.125403919333279 0.0329999999999999 0.0034527310210496 0.00307553606196898 0.0606951604663009 0.0574319559188437
-0.102661466221622 -0.126168266297744 0.0332499999999999 0.00227686272627425 0.00956220139777362 0.0623915235254656 0.0568233485419142
-0.103076601928527 -0.127162400926773 0.0334999999999999 0.00726934538187442 0.0158687046772145 0.0703401799318676 0.0592411207167
-0.10369875656472 -0.128513207860039 0.03375 0.00491831446583425 0.00949551581908926 0.0638131182870842 0.0567448263158981
-0.104425837683293 -0.129921435311208 0.034 0.00510367767778417 0.00510796003733982 0.0650824386996222 0.0599766199567212
-0.105117943975076 -0.131153924543158 0.0342499999999999 -0.00448698805281604 0.00697251082079208 0.0572657390448707 0.0568952028893248
-0.1054910260556 -0.132267299868528 0.0344999999999999 -0.00709315583708102 0.0064235358369158 0.0572581340575106 0.0587705106373807
-0.105629856688659 -0.133337000998774 0.0347499999999999 0.0124976412772677 0.00471438733495285 0.0590002912399466 0.0508430666771007
-0.106117202004363 -0.13436051370405 0.035 0.014040103391802 0.00328747536425576 0.0546080610413888 0.0468784636672395
-0.106934589402641 -0.135319668670843 0.03525 -0.00704876315555658 0.00216115569860138 0.0563428620757933 0.059325281544702
-0.10742754976158 -0.136169756013171 0.0354999999999998 -0.0081491652446395 0.000499569025899657 0.056455957094749 0.0607442993320419
-0.107508110614531 -0.136870175916094 0.0357499999999999 -0.00416505542698872 -0.00702065348127238 0.0534767749281819 0.0591213746926564
-0.107538322158102 -0.137342079728081 0.0359999999999999 0.0184035454875522 0.00886354779283159 0.0692289422822624 0.0562059310358774
-0.108188291683889 -0.137980912605308 0.0362499999999999 0.0191329172349693 0.0140362872934895 0.0597177883505301 0.0433584302013546
-0.109338877853316 -0.138955470500252 0.0365 0.00387054739153429 0.00906091378092671 0.0492305630186717 0.043000416514458
-0.110387449500537 -0.140001190693118 0.03675 -0.00385340359542216 -0.00573152177549927 0.0455184310093735 0.0503371783108336
-0.111098289081467 -0.140705983826006 0.037 -0.00556826018071632 -0.00137790277978414 0.0521322849144777 0.0557236582902864
-0.111523788901944 -0.141198651952772 0.0372499999999999 0.0012212620315964 8.82457694761651e-05 0.0608214124204416 0.0601746590504555
-0.111982280565697 -0.141645723828294 0.0374999999999999 0.00991924177159422 0.00588961290664817 0.0663942391442254 0.058593826608171
-0.11263195285286 -0.142201342223373 0.0377499999999999 -0.000313155082398945 0.00852170793425405 0.0583029134620753 0.0547360334694464
-0.113202251916092 -0.1429221456046 0.038 0.00689424523636138 0.00581819881001906 0.0707893716649214 0.0644398881104511
-0.113888444251314 -0.143706291216356 0.03825 0.00626118296046598 0.00460916374994704 0.068634439314049 0.0632154577088583
-0.114679576583304 -0.14442374036695 0.0384999999999999 0.00149908916377981 0.00412560993921033 0.071815689546894 0.0690408204547024
-0.115422335674557 -0.145114425012716 0.0387499999999999 0.000257266941097121 -0.00014276707544686 0.0610349711285503 0.0609787053210741
-0.116126685925708 -0.145849605128501 0.0389999999999999 0.00703045710689716 0.0171594942505009 0.0585658751356512 0.0472915694540849
-0.116924577705152 -0.146946062256537 0.03925 0.00169990681206552 0.00844624309141717 0.0561983671393457 0.0514580439888993
