# step time com_z vz_proj speed_proj penetration_depth
9500 3.25 144.634127372206 -7.26204837024111 7.37792150116654 0
9550 3.275 144.454049310669 -7.14534351116127 7.26165317035789 0
9600 3.3 144.274647575667 -7.15734207371324 7.27075168220867 0
9650 3.325 144.097330445983 -6.9902351462199 7.09283084291766 0
9700 3.35 143.924523817671 -6.97495493445717 7.09321118172588 0
9750 3.375 143.749340709259 -6.97108545302426 7.06095109087432 0
9800 3.4 143.576420043577 -6.9038981707205 6.97569764627442 0
9850 3.425 143.402398696661 -7.04358138722972 7.105138221769 0
9900 3.45 143.225776528321 -7.03504884052458 7.08148335536407 0
9950 3.475 143.052906975221 -6.76301420947254 6.80477648942702 0
10000 3.5 142.883762246173 -6.8016187983557 6.83572519518388 0
10050 3.525 142.715924243517 -6.55952340117418 6.58993648616898 0
10100 3.55 142.553980665025 -6.51546185341501 6.55740548112049 0
10150 3.575 142.389754990567 -6.6295206748013 6.6511793106265 0
10200 3.6 142.222005015124 -6.72816291319918 6.73917573526696 0
10250 3.625 142.055087614263 -6.58878540106285 6.59539924978873 0
10300 3.65 141.89126663014 -6.54321416188073 6.56034276672419 0
10350 3.675 141.729495431761 -6.38632938304988 6.3996371458809 0
10400 3.7 141.571870088871 -6.25345571946613 6.28027795068056 0
10450 3.725 141.416082043898 -6.20986789871317 6.23294686924808 0
10500 3.75 141.260497112438 -6.21165962556898 6.24102848870974 0
10550 3.775 141.107824609695 -5.96850952377412 6.00821090139851 0
10600 3.8 140.960050200422 -5.93972434870563 5.9639869013744 0
10650 3.825 140.811049381968 -5.93772176596037 5.96654870718735 0
10700 3.85 140.664742966259 -5.81102422841936 5.84645369644881 0
10750 3.875 140.517951419559 -5.8720600668188 5.91498601974853 0
